id,上訴,被告,契約,工程,原告,系爭,本院,請求,條第,給付,公司,施工,部分,萬元,品質計畫書,品質成果報告書,計罰,扣法,總額預定,非賠償總額預定
1,36,0,233,132,0,156,47,122,85,31,2,15,102,5,0,0,5,0,7,0
2,3,133,83,53,140,44,24,28,9,32,0,20,25,34,0,0,0,0,0,0
3,4,79,34,52,76,19,11,5,2,4,83,4,15,5,0,0,0,0,0,0
4,4,49,32,66,77,62,4,8,11,9,18,16,16,1,3,13,0,0,0,0
5,4,133,79,116,136,71,56,39,18,39,29,11,30,5,0,0,3,0,0,0
6,3,173,37,67,163,73,75,35,37,65,26,8,47,0,0,0,1,0,0,0
7,22,15,46,241,16,145,30,56,36,38,294,20,51,7,0,0,0,0,0,0
8,129,1768,48,2218,0,1,284,23,271,185,1152,311,1110,622,0,0,0,0,0,0
9,3,95,44,61,98,51,16,25,17,25,3,0,7,12,0,0,0,0,0,0
10,4,170,55,107,167,42,19,63,52,55,3,19,63,12,0,0,0,0,0,0
11,4,8,34,41,14,59,8,27,26,25,177,9,12,6,0,0,0,0,0,0
12,24,0,139,88,0,149,61,48,56,28,289,46,58,0,0,0,2,0,0,0
13,33,0,11,28,0,22,14,9,5,5,2,0,3,0,0,0,0,0,0,0
14,4,97,81,68,92,53,27,26,9,35,0,8,7,6,0,0,0,0,1,0
15,4,201,139,163,224,178,7,74,57,38,13,32,48,14,0,0,0,0,0,0
16,5,120,69,81,238,54,72,26,28,45,75,32,29,23,0,0,10,0,0,0
17,325,0,58,262,0,156,59,40,8,53,75,19,21,47,0,0,11,0,3,0
18,141,0,48,4,0,107,27,19,27,10,85,0,14,0,0,0,0,0,0,0
19,4,167,29,3,168,16,6,23,4,16,85,1,22,0,0,0,1,0,1,0
20,357,0,117,107,1,145,11,67,35,28,44,12,93,20,0,0,1,0,5,0
21,4,64,31,69,59,57,26,16,2,25,57,10,13,0,0,0,0,0,0,0
22,5,209,6,107,0,76,11,3,36,0,119,30,88,24,4,0,0,0,0,0
23,4,31,17,19,48,46,8,4,14,8,6,1,2,1,0,0,5,0,0,0
24,66,0,43,75,0,19,1,9,19,13,1,7,28,2,0,0,0,0,0,0
25,3,260,70,142,271,87,57,48,56,45,44,41,26,1,0,0,7,0,0,0
26,21,0,65,148,0,59,24,19,15,32,141,52,43,3,0,0,7,0,0,0
27,5,73,28,53,52,154,34,22,9,8,91,6,3,0,0,0,0,0,0,0
28,4,188,23,127,167,31,23,41,12,42,99,23,53,2,0,0,1,0,0,0
29,231,0,89,205,0,136,26,26,32,41,3,30,32,6,0,0,0,0,0,0
30,163,1,69,75,0,114,26,22,54,20,193,6,15,9,0,0,12,0,2,0
31,32,0,64,33,0,71,20,21,5,37,132,17,57,2,0,0,0,0,0,0
32,61,10,133,186,1,142,14,59,16,70,319,22,83,22,0,0,0,0,2,0
33,4,135,145,94,81,106,41,42,53,30,22,41,20,3,0,0,2,0,0,0
34,51,0,6,30,0,11,2,10,5,4,2,4,11,5,0,0,3,0,0,0
35,7,2,21,305,0,0,25,1,10,0,68,306,35,0,0,0,0,0,0,0
36,4,92,173,77,137,76,25,24,44,14,5,34,19,5,0,0,3,0,0,0
37,60,0,9,17,0,17,4,0,21,2,2,1,2,0,0,0,0,0,0,0
38,4,181,225,121,48,126,71,103,102,48,280,27,54,14,0,0,0,0,0,0
39,4,146,142,310,211,1,31,63,30,39,5,39,52,5,0,0,0,0,0,0
40,4,130,29,123,166,45,39,26,6,48,10,21,24,0,0,0,3,0,0,0
41,45,0,7,17,0,12,3,6,7,5,2,1,0,2,0,0,0,0,0,0
42,4,35,13,27,52,37,6,3,0,3,31,0,2,5,0,0,0,0,0,0
43,300,0,11,182,0,21,11,40,14,35,109,67,33,8,0,0,0,0,1,0
44,4,6,48,276,15,219,51,19,15,26,172,27,47,24,0,0,0,0,2,0
45,4,6,48,276,15,219,51,19,15,26,172,27,47,24,0,0,0,0,2,0
46,4,137,99,6,127,92,2,44,15,38,10,0,19,0,0,0,0,0,0,0
47,4,46,20,3,40,18,7,3,1,5,3,0,3,20,0,0,0,0,0,0
48,174,0,15,68,0,103,22,22,8,23,15,0,25,11,0,0,0,0,0,0
49,176,0,91,50,1,91,26,28,29,11,6,26,18,22,0,0,0,0,1,0
50,4,217,79,100,161,111,42,66,51,89,234,2,20,47,0,0,0,0,1,0
51,5,126,64,153,122,75,41,54,15,21,27,44,56,4,0,0,3,0,0,0
52,4,14,124,210,16,189,43,57,70,56,370,17,50,2,0,0,0,0,0,0
53,4,191,75,183,259,126,60,53,48,51,139,67,81,1,0,0,0,0,0,0
54,22,2,120,219,2,117,33,43,43,23,134,51,59,3,0,0,0,0,0,0
55,4,198,109,223,166,116,60,74,67,73,14,25,32,29,0,0,0,0,0,0
56,39,16,153,114,16,151,34,60,70,32,137,7,74,14,0,0,0,0,1,0
57,5,280,126,224,336,116,63,69,20,59,5,48,119,22,0,0,0,0,0,0
58,141,0,20,77,0,5,25,18,5,20,6,13,12,1,0,0,0,0,0,0
59,4,82,41,122,27,18,11,10,13,6,37,0,16,0,0,0,0,0,0,0
60,11,67,27,83,106,33,6,30,7,22,45,14,8,23,0,0,1,0,0,0
61,4,112,86,118,135,104,26,48,30,74,114,60,24,1,0,0,0,0,0,0
62,4,70,124,57,69,71,11,33,48,24,12,6,18,3,0,0,0,0,2,0
63,4,166,57,94,134,123,41,34,57,28,31,56,41,5,0,0,0,0,0,0
64,4,36,22,41,32,38,14,17,4,13,6,2,7,15,0,0,0,0,0,0
65,25,0,25,59,0,120,34,19,9,11,69,6,39,2,0,0,0,0,0,0
66,4,13,77,50,58,44,20,30,21,31,87,24,11,1,0,0,0,0,0,0
67,4,43,16,22,39,16,8,10,7,22,0,6,4,16,0,0,0,0,0,0
68,6,31,111,139,38,95,20,28,28,37,395,105,45,0,0,0,0,0,0,0
69,205,0,48,129,0,80,25,23,27,18,35,39,22,4,0,0,0,0,0,0
70,408,11,94,125,31,149,27,56,45,28,59,82,27,24,0,0,3,0,0,0
71,4,63,40,16,52,49,14,21,16,14,2,9,2,25,0,0,0,0,1,0
72,4,121,44,188,112,111,28,44,12,36,8,22,61,5,0,0,0,0,0,0
73,6,115,118,21,95,121,18,35,51,27,17,1,13,7,0,0,0,0,2,0
74,99,0,25,48,0,68,12,20,18,34,2,0,3,0,0,0,0,0,2,0
75,7,196,224,322,267,169,38,34,69,52,54,101,65,12,0,0,0,0,0,0
76,4,68,8,27,76,25,34,22,9,28,10,13,2,1,0,0,2,0,0,0
77,66,0,39,33,0,38,1,11,13,17,2,1,20,0,0,0,0,0,0,0
78,4,160,87,153,181,83,20,56,10,69,31,26,44,19,0,0,0,0,0,0
79,4,135,138,147,212,139,62,63,41,44,13,75,65,0,0,0,0,0,0,0
80,44,0,8,11,0,8,1,6,3,6,3,1,1,2,0,0,0,0,0,0
81,165,0,68,113,1,101,26,27,21,22,86,3,31,18,0,0,0,0,1,0
82,319,0,104,225,0,158,64,96,60,27,7,66,58,1,0,0,0,0,2,0
